iter	Passed	Remaining
1275	72917	212810
1276	72979	212766
1277	73041	212724
1278	73094	212653
1279	73148	212588
1280	73204	212527
1281	73258	212460
1282	73319	212415
1283	73378	212363
1284	73437	212312
1285	73496	212260
1286	73554	212205
1287	73607	212134
1288	73666	212085
1289	73727	212036
1290	73781	211970
1291	73842	211924
1292	73903	211878
1293	73960	211820
1294	74019	211770
1295	74074	211708
1296	74132	211652
1297	74192	211601
1298	74252	211552
1299	74305	211485
1300	74363	211429
1301	74424	211383
1302	74482	211329
1303	74546	211291
1304	74607	211244
1305	74671	211208
1306	74730	211153
1307	74785	211091
1308	74841	211030
1309	74900	210978
1310	74963	210938
1311	75023	210889
1312	75078	210826
1313	75134	210766
1314	75187	210696
1315	75249	210651
1316	75309	210603
1317	75371	210560
1318	75426	210495
1319	75479	210427
1320	75544	210390
1321	75599	210330
1322	75663	210290
1323	75716	210222
1324	75772	210161
1325	75833	210115
1326	75894	210068
1327	75955	210022
1328	76013	209967
1329	76046	209842
1330	76104	209786
1331	76163	209736
1332	76219	209675
1333	76278	209623
1334	76336	209568
1335	76393	209510
1336	76446	209442
1337	76502	209379
1338	76559	209324
1339	76621	209279
1340	76647	209136
1341	76710	209095
1342	76768	209041
1343	76828	208990
1344	76883	208929
1345	76941	208873
1346	76995	208807
1347	77049	208743
1348	77109	208693
1349	77171	208648
1350	77230	208595
1351	77284	208531
1352	77337	208462
1353	77394	208406
1354	77450	208345
1355	77507	208287
1356	77565	208233
1357	77625	208182
1358	77682	208124
1359	77744	208082
1360	77800	208021
1361	77855	207956
1362	77912	207899
1363	77975	207859
1364	78030	207795
1365	78082	207724
1366	78137	207662
1367	78196	207610
1368	78250	207545
1369	78315	207508
1370	78370	207444
1371	78428	207389
1372	78489	207341
1373	78547	207288
1374	78603	207226
1375	78660	207169
1376	78725	207132
1377	78758	207011
1378	78811	206945
1379	78870	206892
1380	78928	206837
1381	78985	206778
1382	79042	206721
1383	79102	206672
1384	79162	206623
1385	79215	206554
1386	79265	206479
1387	79321	206418
1388	79377	206358
1389	79441	206318
1390	79502	206272
1391	79563	206224
1392	79627	206186
1393	79687	206136
1394	79741	206069
1395	79793	206000
1396	79848	205935
1397	79902	205870
1398	79954	205801
1399	80011	205743
1400	80073	205700
1401	80136	205655
1402	80194	205602
1403	80252	205548
1404	80317	205508
1405	80371	205444
1406	80424	205376
1407	80479	205314
1408	80536	205256
1409	80589	205188
1410	80649	205139
1411	80710	205090
1412	80761	205018
1413	80823	204974
1414	80880	204916
1415	80945	204878
1416	81003	204822
1417	81059	204763
1418	81115	204702
1419	81170	204641
1420	81230	204591
1421	81287	204534
1422	81341	204469
1423	81401	204417
1424	81459	204362
1425	81517	204309
1426	81578	204259
1427	81634	204201
1428	81690	204139
1429	81752	204095
1430	81809	204037
1431	81865	203978
1432	81924	203923
1433	81966	203830
1434	82022	203770
1435	82079	203712
1436	82137	203657
1437	82195	203601
1438	82251	203543
1439	82305	203478
1440	82358	203411
1441	82413	203348
1442	82476	203305
1443	82531	203242
1444	82597	203207
1445	82681	203215
1446	82769	203233
1447	82831	203187
1448	82883	203118
1449	82940	203061
1450	83012	203039
1451	83082	203013
1452	83150	202984
1453	83217	202950
1454	83286	202920
1455	83360	202903
1456	83427	202872
1457	83483	202811
1458	83538	202749
1459	83592	202683
1460	83649	202625
1461	83711	202579
1462	83772	202531
1463	83829	202474
1464	83891	202428
1465	83946	202364
1466	84003	202307
1467	84064	202259
1468	84122	202204
1469	84176	202138
1470	84239	202095
1471	84282	202002
1472	84338	201942
1473	84389	201870
1474	84448	201816
1475	84507	201764
1476	84560	201698
1477	84615	201635
1478	84671	201575
1479	84730	201520
1480	84791	201472
1481	84843	201402
1482	84898	201341
1483	84959	201291
1484	85019	201240
1485	85079	201190
1486	85132	201123
1487	85194	201078
1488	85253	201023
1489	85316	200980
1490	85374	200925
1491	85432	200868
1492	85485	200802
1493	85541	200740
1494	85599	200685
1495	85653	200621
1496	85713	200571
1497	85769	200510
1498	85823	200446
1499	85889	200409
1500	85940	200337
1501	86010	200309
1502	86079	200279
1503	86146	200244
1504	86206	200192
1505	86267	200144
1506	86326	200090
1507	86376	200016
1508	86433	199960
1509	86496	199916
1510	86556	199864
1511	86613	199806
1512	86670	199749
1513	86726	199688
1514	86785	199636
1515	86842	199577
1516	86900	199520
1517	86956	199460
1518	87017	199413
1519	87078	199364
1520	87143	199323
1521	87201	199268
1522	87263	199222
1523	87322	199168
1524	87380	199112
1525	87439	199058
1526	87504	199019
1527	87558	198956
1528	87613	198892
1529	87668	198830
1530	87726	198774
1531	87780	198709
1532	87837	198652
1533	87893	198590
1534	87951	198534
1535	88005	198471
1536	88066	198422
1537	88122	198362
1538	88182	198309
1539	88239	198252
1540	88298	198199
1541	88357	198146
1542	88414	198086
1543	88480	198049
1544	88543	198004
1545	88600	197947
1546	88655	197885
1547	88718	197839
1548	88778	197788
1549	88836	197733
1550	88898	197685
1551	88951	197618
1552	89011	197567
1553	89067	197506
1554	89128	197458
1555	89185	197399
1556	89249	197358
1557	89306	197298
1558	89362	197238
1559	89420	197183
1560	89478	197127
1561	89535	197069
1562	89594	197015
1563	89651	196957
1564	89707	196896
1565	89759	196828
1566	89824	196789
1567	89883	196733
1568	89944	196685
1569	90007	196641
1570	90069	196593
1571	90122	196527
1572	90187	196485
1573	90255	196451
1574	90316	196402
1575	90374	196347
1576	90430	196285
1577	90494	196242
1578	90551	196186
1579	90602	196113
1580	90656	196050
1581	90708	195980
1582	90763	195918
1583	90820	195859
1584	90879	195805
1585	90938	195752
1586	91000	195705
1587	91063	195660
1588	91121	195605
1589	91181	195552
1590	91240	195499
1591	91296	195438
1592	91355	195383
1593	91408	195319
1594	91466	195262
1595	91521	195200
1596	91580	195146
1597	91641	195097
1598	91702	195047
1599	91755	194980
1600	91818	194934
1601	91882	194891
1602	91936	194827
1603	91997	194777
1604	92057	194725
1605	92114	194667
1606	92168	194604
1607	92225	194545
1608	92283	194489
1609	92345	194442
1610	92404	194388
1611	92469	194347
1612	92524	194283
1613	92582	194228
1614	92644	194179
1615	92704	194129
1616	92767	194082
1617	92828	194034
1618	92895	193996
1619	92958	193949
1620	93010	193881
1621	93064	193816
1622	93124	193765
1623	93186	193718
1624	93246	193666
1625	93306	193613
1626	93366	193562
1627	93421	193500
1628	93480	193446
1629	93540	193392
1630	93595	193330
1631	93650	193268
1632	93704	193205
1633	93758	193139
1634	93818	193087
1635	93878	193037
1636	93938	192984
1637	94001	192937
1638	94060	192883
1639	94125	192842
1640	94176	192772
1641	94233	192713
1642	94287	192649
1643	94344	192592
1644	94404	192539
1645	94468	192495
1646	94525	192437
1647	94582	192378
1648	94647	192336
1649	94705	192281
1650	94759	192216
1651	94817	192159
1652	94877	192107
1653	94934	192050
1654	94989	191988
1655	95052	191942
1656	95115	191895
1657	95173	191839
1658	95225	191771
1659	95283	191715
1660	95343	191661
1661	95405	191613
1662	95467	191567
